file_1,file_2,similarity
Suggestion_1_1.py,Suggestion_1_1.py,1.0
Suggestion_1_1.py,Suggestion_1_14.py,0.6392
Suggestion_1_1.py,Suggestion_1_15.py,1.0
Suggestion_1_1.py,Suggestion_1_16.py,1.0
Suggestion_1_1.py,Suggestion_1_17.py,1.0
Suggestion_1_1.py,Suggestion_1_18.py,1.0
Suggestion_1_1.py,Suggestion_1_19.py,1.0
Suggestion_1_1.py,Suggestion_1_2.py,1.0
Suggestion_1_1.py,Suggestion_1_21.py,1.0
Suggestion_1_1.py,Suggestion_1_3.py,1.0
Suggestion_1_1.py,Suggestion_3_1.py,1.0
Suggestion_1_1.py,Suggestion_3_2.py,1.0
Suggestion_1_1.py,Suggestion_3_3.py,1.0
Suggestion_1_1.py,Suggestion_3_4.py,0.6392
Suggestion_1_1.py,Suggestion_3_5.py,1.0
Suggestion_1_1.py,Suggestion_3_6.py,1.0
Suggestion_1_1.py,Suggestion_3_7.py,1.0
Suggestion_1_1.py,Suggestion_3_8.py,1.0
Suggestion_1_1.py,Suggestion_3_9.py,1.0
Suggestion_1_14.py,Suggestion_1_1.py,0.6392
Suggestion_1_14.py,Suggestion_1_14.py,1.0
Suggestion_1_14.py,Suggestion_1_15.py,0.6392
Suggestion_1_14.py,Suggestion_1_16.py,0.6392
Suggestion_1_14.py,Suggestion_1_17.py,0.6392
Suggestion_1_14.py,Suggestion_1_18.py,0.6392
Suggestion_1_14.py,Suggestion_1_19.py,0.6392
Suggestion_1_14.py,Suggestion_1_2.py,0.6392
Suggestion_1_14.py,Suggestion_1_21.py,0.6392
Suggestion_1_14.py,Suggestion_1_3.py,0.6392
Suggestion_1_14.py,Suggestion_3_1.py,0.6392
Suggestion_1_14.py,Suggestion_3_2.py,0.6392
Suggestion_1_14.py,Suggestion_3_3.py,0.6392
Suggestion_1_14.py,Suggestion_3_4.py,1.0
Suggestion_1_14.py,Suggestion_3_5.py,0.6392
Suggestion_1_14.py,Suggestion_3_6.py,0.6392
Suggestion_1_14.py,Suggestion_3_7.py,0.6392
Suggestion_1_14.py,Suggestion_3_8.py,0.6392
Suggestion_1_14.py,Suggestion_3_9.py,0.6392
Suggestion_1_15.py,Suggestion_1_1.py,1.0
Suggestion_1_15.py,Suggestion_1_14.py,0.6392
Suggestion_1_15.py,Suggestion_1_15.py,1.0
Suggestion_1_15.py,Suggestion_1_16.py,1.0
Suggestion_1_15.py,Suggestion_1_17.py,1.0
Suggestion_1_15.py,Suggestion_1_18.py,1.0
Suggestion_1_15.py,Suggestion_1_19.py,1.0
Suggestion_1_15.py,Suggestion_1_2.py,1.0
Suggestion_1_15.py,Suggestion_1_21.py,1.0
Suggestion_1_15.py,Suggestion_1_3.py,1.0
Suggestion_1_15.py,Suggestion_3_1.py,1.0
Suggestion_1_15.py,Suggestion_3_2.py,1.0
Suggestion_1_15.py,Suggestion_3_3.py,1.0
Suggestion_1_15.py,Suggestion_3_4.py,0.6392
Suggestion_1_15.py,Suggestion_3_5.py,1.0
Suggestion_1_15.py,Suggestion_3_6.py,1.0
Suggestion_1_15.py,Suggestion_3_7.py,1.0
Suggestion_1_15.py,Suggestion_3_8.py,1.0
Suggestion_1_15.py,Suggestion_3_9.py,1.0
Suggestion_1_16.py,Suggestion_1_1.py,1.0
Suggestion_1_16.py,Suggestion_1_14.py,0.6392
Suggestion_1_16.py,Suggestion_1_15.py,1.0
Suggestion_1_16.py,Suggestion_1_16.py,1.0
Suggestion_1_16.py,Suggestion_1_17.py,1.0
Suggestion_1_16.py,Suggestion_1_18.py,1.0
Suggestion_1_16.py,Suggestion_1_19.py,1.0
Suggestion_1_16.py,Suggestion_1_2.py,1.0
Suggestion_1_16.py,Suggestion_1_21.py,1.0
Suggestion_1_16.py,Suggestion_1_3.py,1.0
Suggestion_1_16.py,Suggestion_3_1.py,1.0
Suggestion_1_16.py,Suggestion_3_2.py,1.0
Suggestion_1_16.py,Suggestion_3_3.py,1.0
Suggestion_1_16.py,Suggestion_3_4.py,0.6392
Suggestion_1_16.py,Suggestion_3_5.py,1.0
Suggestion_1_16.py,Suggestion_3_6.py,1.0
Suggestion_1_16.py,Suggestion_3_7.py,1.0
Suggestion_1_16.py,Suggestion_3_8.py,1.0
Suggestion_1_16.py,Suggestion_3_9.py,1.0
Suggestion_1_17.py,Suggestion_1_1.py,1.0
Suggestion_1_17.py,Suggestion_1_14.py,0.6392
Suggestion_1_17.py,Suggestion_1_15.py,1.0
Suggestion_1_17.py,Suggestion_1_16.py,1.0
Suggestion_1_17.py,Suggestion_1_17.py,1.0
Suggestion_1_17.py,Suggestion_1_18.py,1.0
Suggestion_1_17.py,Suggestion_1_19.py,1.0
Suggestion_1_17.py,Suggestion_1_2.py,1.0
Suggestion_1_17.py,Suggestion_1_21.py,1.0
Suggestion_1_17.py,Suggestion_1_3.py,1.0
Suggestion_1_17.py,Suggestion_3_1.py,1.0
Suggestion_1_17.py,Suggestion_3_2.py,1.0
Suggestion_1_17.py,Suggestion_3_3.py,1.0
Suggestion_1_17.py,Suggestion_3_4.py,0.6392
Suggestion_1_17.py,Suggestion_3_5.py,1.0
Suggestion_1_17.py,Suggestion_3_6.py,1.0
Suggestion_1_17.py,Suggestion_3_7.py,1.0
Suggestion_1_17.py,Suggestion_3_8.py,1.0
Suggestion_1_17.py,Suggestion_3_9.py,1.0
Suggestion_1_18.py,Suggestion_1_1.py,1.0
Suggestion_1_18.py,Suggestion_1_14.py,0.6392
Suggestion_1_18.py,Suggestion_1_15.py,1.0
Suggestion_1_18.py,Suggestion_1_16.py,1.0
Suggestion_1_18.py,Suggestion_1_17.py,1.0
Suggestion_1_18.py,Suggestion_1_18.py,1.0
Suggestion_1_18.py,Suggestion_1_19.py,1.0
Suggestion_1_18.py,Suggestion_1_2.py,1.0
Suggestion_1_18.py,Suggestion_1_21.py,1.0
Suggestion_1_18.py,Suggestion_1_3.py,1.0
Suggestion_1_18.py,Suggestion_3_1.py,1.0
Suggestion_1_18.py,Suggestion_3_2.py,1.0
Suggestion_1_18.py,Suggestion_3_3.py,1.0
Suggestion_1_18.py,Suggestion_3_4.py,0.6392
Suggestion_1_18.py,Suggestion_3_5.py,1.0
Suggestion_1_18.py,Suggestion_3_6.py,1.0
Suggestion_1_18.py,Suggestion_3_7.py,1.0
Suggestion_1_18.py,Suggestion_3_8.py,1.0
Suggestion_1_18.py,Suggestion_3_9.py,1.0
Suggestion_1_19.py,Suggestion_1_1.py,1.0
Suggestion_1_19.py,Suggestion_1_14.py,0.6392
Suggestion_1_19.py,Suggestion_1_15.py,1.0
Suggestion_1_19.py,Suggestion_1_16.py,1.0
Suggestion_1_19.py,Suggestion_1_17.py,1.0
Suggestion_1_19.py,Suggestion_1_18.py,1.0
Suggestion_1_19.py,Suggestion_1_19.py,1.0
Suggestion_1_19.py,Suggestion_1_2.py,1.0
Suggestion_1_19.py,Suggestion_1_21.py,1.0
Suggestion_1_19.py,Suggestion_1_3.py,1.0
Suggestion_1_19.py,Suggestion_3_1.py,1.0
Suggestion_1_19.py,Suggestion_3_2.py,1.0
Suggestion_1_19.py,Suggestion_3_3.py,1.0
Suggestion_1_19.py,Suggestion_3_4.py,0.6392
Suggestion_1_19.py,Suggestion_3_5.py,1.0
Suggestion_1_19.py,Suggestion_3_6.py,1.0
Suggestion_1_19.py,Suggestion_3_7.py,1.0
Suggestion_1_19.py,Suggestion_3_8.py,1.0
Suggestion_1_19.py,Suggestion_3_9.py,1.0
Suggestion_1_2.py,Suggestion_1_1.py,1.0
Suggestion_1_2.py,Suggestion_1_14.py,0.6392
Suggestion_1_2.py,Suggestion_1_15.py,1.0
Suggestion_1_2.py,Suggestion_1_16.py,1.0
Suggestion_1_2.py,Suggestion_1_17.py,1.0
Suggestion_1_2.py,Suggestion_1_18.py,1.0
Suggestion_1_2.py,Suggestion_1_19.py,1.0
Suggestion_1_2.py,Suggestion_1_2.py,1.0
Suggestion_1_2.py,Suggestion_1_21.py,1.0
Suggestion_1_2.py,Suggestion_1_3.py,1.0
Suggestion_1_2.py,Suggestion_3_1.py,1.0
Suggestion_1_2.py,Suggestion_3_2.py,1.0
Suggestion_1_2.py,Suggestion_3_3.py,1.0
Suggestion_1_2.py,Suggestion_3_4.py,0.6392
Suggestion_1_2.py,Suggestion_3_5.py,1.0
Suggestion_1_2.py,Suggestion_3_6.py,1.0
Suggestion_1_2.py,Suggestion_3_7.py,1.0
Suggestion_1_2.py,Suggestion_3_8.py,1.0
Suggestion_1_2.py,Suggestion_3_9.py,1.0
Suggestion_1_21.py,Suggestion_1_1.py,1.0
Suggestion_1_21.py,Suggestion_1_14.py,0.6392
Suggestion_1_21.py,Suggestion_1_15.py,1.0
Suggestion_1_21.py,Suggestion_1_16.py,1.0
Suggestion_1_21.py,Suggestion_1_17.py,1.0
Suggestion_1_21.py,Suggestion_1_18.py,1.0
Suggestion_1_21.py,Suggestion_1_19.py,1.0
Suggestion_1_21.py,Suggestion_1_2.py,1.0
Suggestion_1_21.py,Suggestion_1_21.py,1.0
Suggestion_1_21.py,Suggestion_1_3.py,1.0
Suggestion_1_21.py,Suggestion_3_1.py,1.0
Suggestion_1_21.py,Suggestion_3_2.py,1.0
Suggestion_1_21.py,Suggestion_3_3.py,1.0
Suggestion_1_21.py,Suggestion_3_4.py,0.6392
Suggestion_1_21.py,Suggestion_3_5.py,1.0
Suggestion_1_21.py,Suggestion_3_6.py,1.0
Suggestion_1_21.py,Suggestion_3_7.py,1.0
Suggestion_1_21.py,Suggestion_3_8.py,1.0
Suggestion_1_21.py,Suggestion_3_9.py,1.0
Suggestion_1_3.py,Suggestion_1_1.py,1.0
Suggestion_1_3.py,Suggestion_1_14.py,0.6392
Suggestion_1_3.py,Suggestion_1_15.py,1.0
