file_1,file_2,similarity
Suggestion_1_10.py,Suggestion_1_10.py,1.0
Suggestion_1_10.py,Suggestion_1_2.py,0.7394
Suggestion_1_10.py,Suggestion_1_3.py,1.0
Suggestion_1_10.py,Suggestion_1_4.py,1.0
Suggestion_1_10.py,Suggestion_1_5.py,1.0
Suggestion_1_10.py,Suggestion_1_6.py,1.0
Suggestion_1_10.py,Suggestion_1_7.py,1.0
Suggestion_1_10.py,Suggestion_1_8.py,1.0
Suggestion_1_10.py,Suggestion_1_9.py,1.0
Suggestion_1_2.py,Suggestion_1_10.py,0.7394
Suggestion_1_2.py,Suggestion_1_2.py,1.0
Suggestion_1_2.py,Suggestion_1_3.py,0.7394
Suggestion_1_2.py,Suggestion_1_4.py,0.7394
Suggestion_1_2.py,Suggestion_1_5.py,0.7394
Suggestion_1_2.py,Suggestion_1_6.py,0.7394
Suggestion_1_2.py,Suggestion_1_7.py,0.7394
Suggestion_1_2.py,Suggestion_1_8.py,0.7394
Suggestion_1_2.py,Suggestion_1_9.py,0.7394
Suggestion_1_3.py,Suggestion_1_10.py,1.0
Suggestion_1_3.py,Suggestion_1_2.py,0.7394
Suggestion_1_3.py,Suggestion_1_3.py,1.0
Suggestion_1_3.py,Suggestion_1_4.py,1.0
Suggestion_1_3.py,Suggestion_1_5.py,1.0
Suggestion_1_3.py,Suggestion_1_6.py,1.0
Suggestion_1_3.py,Suggestion_1_7.py,1.0
Suggestion_1_3.py,Suggestion_1_8.py,1.0
Suggestion_1_3.py,Suggestion_1_9.py,1.0
Suggestion_1_4.py,Suggestion_1_10.py,1.0
Suggestion_1_4.py,Suggestion_1_2.py,0.7394
Suggestion_1_4.py,Suggestion_1_3.py,1.0
Suggestion_1_4.py,Suggestion_1_4.py,1.0
Suggestion_1_4.py,Suggestion_1_5.py,1.0
Suggestion_1_4.py,Suggestion_1_6.py,1.0
Suggestion_1_4.py,Suggestion_1_7.py,1.0
Suggestion_1_4.py,Suggestion_1_8.py,1.0
Suggestion_1_4.py,Suggestion_1_9.py,1.0
Suggestion_1_5.py,Suggestion_1_10.py,1.0
Suggestion_1_5.py,Suggestion_1_2.py,0.7394
Suggestion_1_5.py,Suggestion_1_3.py,1.0
Suggestion_1_5.py,Suggestion_1_4.py,1.0
Suggestion_1_5.py,Suggestion_1_5.py,1.0
Suggestion_1_5.py,Suggestion_1_6.py,1.0
Suggestion_1_5.py,Suggestion_1_7.py,1.0
Suggestion_1_5.py,Suggestion_1_8.py,1.0
Suggestion_1_5.py,Suggestion_1_9.py,1.0
Suggestion_1_6.py,Suggestion_1_10.py,1.0
Suggestion_1_6.py,Suggestion_1_2.py,0.7394
Suggestion_1_6.py,Suggestion_1_3.py,1.0
Suggestion_1_6.py,Suggestion_1_4.py,1.0
Suggestion_1_6.py,Suggestion_1_5.py,1.0
Suggestion_1_6.py,Suggestion_1_6.py,1.0
Suggestion_1_6.py,Suggestion_1_7.py,1.0
Suggestion_1_6.py,Suggestion_1_8.py,1.0
Suggestion_1_6.py,Suggestion_1_9.py,1.0
Suggestion_1_7.py,Suggestion_1_10.py,1.0
Suggestion_1_7.py,Suggestion_1_2.py,0.7394
Suggestion_1_7.py,Suggestion_1_3.py,1.0
Suggestion_1_7.py,Suggestion_1_4.py,1.0
Suggestion_1_7.py,Suggestion_1_5.py,1.0
Suggestion_1_7.py,Suggestion_1_6.py,1.0
Suggestion_1_7.py,Suggestion_1_7.py,1.0
Suggestion_1_7.py,Suggestion_1_8.py,1.0
Suggestion_1_7.py,Suggestion_1_9.py,1.0
Suggestion_1_8.py,Suggestion_1_10.py,1.0
Suggestion_1_8.py,Suggestion_1_2.py,0.7394
Suggestion_1_8.py,Suggestion_1_3.py,1.0
Suggestion_1_8.py,Suggestion_1_4.py,1.0
Suggestion_1_8.py,Suggestion_1_5.py,1.0
Suggestion_1_8.py,Suggestion_1_6.py,1.0
Suggestion_1_8.py,Suggestion_1_7.py,1.0
Suggestion_1_8.py,Suggestion_1_8.py,1.0
Suggestion_1_8.py,Suggestion_1_9.py,1.0
Suggestion_1_9.py,Suggestion_1_10.py,1.0
Suggestion_1_9.py,Suggestion_1_2.py,0.7394
Suggestion_1_9.py,Suggestion_1_3.py,1.0
Suggestion_1_9.py,Suggestion_1_4.py,1.0
Suggestion_1_9.py,Suggestion_1_5.py,1.0
Suggestion_1_9.py,Suggestion_1_6.py,1.0
Suggestion_1_9.py,Suggestion_1_7.py,1.0
Suggestion_1_9.py,Suggestion_1_8.py,1.0
Suggestion_1_9.py,Suggestion_1_9.py,1.0
