file_1,file_2,similarity
Suggestion_1_2.py,Suggestion_1_2.py,1.0
Suggestion_1_2.py,Suggestion_1_3.py,1.0
Suggestion_1_2.py,Suggestion_1_4.py,0.0737
Suggestion_1_2.py,Suggestion_1_6.py,0.6345
Suggestion_1_2.py,Suggestion_1_8.py,0.6345
Suggestion_1_2.py,Suggestion_2_1.py,0.1101
Suggestion_1_2.py,Suggestion_2_2.py,0.1101
Suggestion_1_3.py,Suggestion_1_2.py,1.0
Suggestion_1_3.py,Suggestion_1_3.py,1.0
Suggestion_1_3.py,Suggestion_1_4.py,0.0737
Suggestion_1_3.py,Suggestion_1_6.py,0.6345
Suggestion_1_3.py,Suggestion_1_8.py,0.6345
Suggestion_1_3.py,Suggestion_2_1.py,0.1101
Suggestion_1_3.py,Suggestion_2_2.py,0.1101
Suggestion_1_4.py,Suggestion_1_2.py,0.0737
Suggestion_1_4.py,Suggestion_1_3.py,0.0737
Suggestion_1_4.py,Suggestion_1_4.py,1.0
Suggestion_1_4.py,Suggestion_1_6.py,0.0456
Suggestion_1_4.py,Suggestion_1_8.py,0.0456
Suggestion_1_4.py,Suggestion_2_1.py,0.4903
Suggestion_1_4.py,Suggestion_2_2.py,0.4903
Suggestion_1_6.py,Suggestion_1_2.py,0.6345
Suggestion_1_6.py,Suggestion_1_3.py,0.6345
Suggestion_1_6.py,Suggestion_1_4.py,0.0456
Suggestion_1_6.py,Suggestion_1_6.py,1.0
Suggestion_1_6.py,Suggestion_1_8.py,1.0
Suggestion_1_6.py,Suggestion_2_1.py,0.0579
Suggestion_1_6.py,Suggestion_2_2.py,0.0579
Suggestion_1_8.py,Suggestion_1_2.py,0.6345
Suggestion_1_8.py,Suggestion_1_3.py,0.6345
Suggestion_1_8.py,Suggestion_1_4.py,0.0456
Suggestion_1_8.py,Suggestion_1_6.py,1.0
Suggestion_1_8.py,Suggestion_1_8.py,1.0
Suggestion_1_8.py,Suggestion_2_1.py,0.0579
Suggestion_1_8.py,Suggestion_2_2.py,0.0579
Suggestion_2_1.py,Suggestion_1_2.py,0.1101
Suggestion_2_1.py,Suggestion_1_3.py,0.1101
Suggestion_2_1.py,Suggestion_1_4.py,0.4903
Suggestion_2_1.py,Suggestion_1_6.py,0.0579
Suggestion_2_1.py,Suggestion_1_8.py,0.0579
Suggestion_2_1.py,Suggestion_2_1.py,1.0
Suggestion_2_1.py,Suggestion_2_2.py,1.0
Suggestion_2_2.py,Suggestion_1_2.py,0.1101
Suggestion_2_2.py,Suggestion_1_3.py,0.1101
Suggestion_2_2.py,Suggestion_1_4.py,0.4903
Suggestion_2_2.py,Suggestion_1_6.py,0.0579
Suggestion_2_2.py,Suggestion_1_8.py,0.0579
Suggestion_2_2.py,Suggestion_2_1.py,1.0
Suggestion_2_2.py,Suggestion_2_2.py,1.0
