file_1,file_2,similarity
Suggestion_2_4.py,Suggestion_2_4.py,1.0
Suggestion_2_4.py,Suggestion_2_8.py,0.1691
Suggestion_2_4.py,Suggestion_3_5.py,0.2018
Suggestion_2_4.py,Suggestion_3_6.py,0.0566
Suggestion_2_4.py,Suggestion_4_5.py,0.298
Suggestion_2_4.py,Suggestion_4_9.py,0.4488
Suggestion_2_4.py,Suggestion_5_6.py,0.2018
Suggestion_2_4.py,Suggestion_5_9.py,0.1302
Suggestion_2_4.py,Suggestion_6_6.py,0.0539
Suggestion_2_8.py,Suggestion_2_4.py,0.1691
Suggestion_2_8.py,Suggestion_2_8.py,1.0
Suggestion_2_8.py,Suggestion_3_5.py,0.0913
Suggestion_2_8.py,Suggestion_3_6.py,0.0123
Suggestion_2_8.py,Suggestion_4_5.py,0.092
Suggestion_2_8.py,Suggestion_4_9.py,0.0674
Suggestion_2_8.py,Suggestion_5_6.py,0.0913
Suggestion_2_8.py,Suggestion_5_9.py,0.2301
Suggestion_2_8.py,Suggestion_6_6.py,0.0206
Suggestion_3_5.py,Suggestion_2_4.py,0.2018
Suggestion_3_5.py,Suggestion_2_8.py,0.0913
Suggestion_3_5.py,Suggestion_3_5.py,1.0
Suggestion_3_5.py,Suggestion_3_6.py,0.0433
Suggestion_3_5.py,Suggestion_4_5.py,0.2155
Suggestion_3_5.py,Suggestion_4_9.py,0.0799
Suggestion_3_5.py,Suggestion_5_6.py,1.0
Suggestion_3_5.py,Suggestion_5_9.py,0.0267
Suggestion_3_5.py,Suggestion_6_6.py,0.0986
Suggestion_3_6.py,Suggestion_2_4.py,0.0566
Suggestion_3_6.py,Suggestion_2_8.py,0.0123
Suggestion_3_6.py,Suggestion_3_5.py,0.0433
Suggestion_3_6.py,Suggestion_3_6.py,1.0
Suggestion_3_6.py,Suggestion_4_5.py,0.0729
Suggestion_3_6.py,Suggestion_4_9.py,0.133
Suggestion_3_6.py,Suggestion_5_6.py,0.0433
Suggestion_3_6.py,Suggestion_5_9.py,0.0654
Suggestion_3_6.py,Suggestion_6_6.py,0.1008
Suggestion_4_5.py,Suggestion_2_4.py,0.298
Suggestion_4_5.py,Suggestion_2_8.py,0.092
Suggestion_4_5.py,Suggestion_3_5.py,0.2155
Suggestion_4_5.py,Suggestion_3_6.py,0.0729
Suggestion_4_5.py,Suggestion_4_5.py,1.0
Suggestion_4_5.py,Suggestion_4_9.py,0.1575
Suggestion_4_5.py,Suggestion_5_6.py,0.2155
Suggestion_4_5.py,Suggestion_5_9.py,0.0871
Suggestion_4_5.py,Suggestion_6_6.py,0.0803
Suggestion_4_9.py,Suggestion_2_4.py,0.4488
Suggestion_4_9.py,Suggestion_2_8.py,0.0674
Suggestion_4_9.py,Suggestion_3_5.py,0.0799
Suggestion_4_9.py,Suggestion_3_6.py,0.133
Suggestion_4_9.py,Suggestion_4_5.py,0.1575
Suggestion_4_9.py,Suggestion_4_9.py,1.0
Suggestion_4_9.py,Suggestion_5_6.py,0.0799
Suggestion_4_9.py,Suggestion_5_9.py,0.1191
Suggestion_4_9.py,Suggestion_6_6.py,0.1096
Suggestion_5_6.py,Suggestion_2_4.py,0.2018
Suggestion_5_6.py,Suggestion_2_8.py,0.0913
Suggestion_5_6.py,Suggestion_3_5.py,1.0
Suggestion_5_6.py,Suggestion_3_6.py,0.0433
Suggestion_5_6.py,Suggestion_4_5.py,0.2155
Suggestion_5_6.py,Suggestion_4_9.py,0.0799
Suggestion_5_6.py,Suggestion_5_6.py,1.0
Suggestion_5_6.py,Suggestion_5_9.py,0.0267
Suggestion_5_6.py,Suggestion_6_6.py,0.0986
Suggestion_5_9.py,Suggestion_2_4.py,0.1302
Suggestion_5_9.py,Suggestion_2_8.py,0.2301
Suggestion_5_9.py,Suggestion_3_5.py,0.0267
Suggestion_5_9.py,Suggestion_3_6.py,0.0654
Suggestion_5_9.py,Suggestion_4_5.py,0.0871
Suggestion_5_9.py,Suggestion_4_9.py,0.1191
Suggestion_5_9.py,Suggestion_5_6.py,0.0267
Suggestion_5_9.py,Suggestion_5_9.py,1.0
Suggestion_5_9.py,Suggestion_6_6.py,0.0335
Suggestion_6_6.py,Suggestion_2_4.py,0.0539
Suggestion_6_6.py,Suggestion_2_8.py,0.0206
Suggestion_6_6.py,Suggestion_3_5.py,0.0986
Suggestion_6_6.py,Suggestion_3_6.py,0.1008
Suggestion_6_6.py,Suggestion_4_5.py,0.0803
Suggestion_6_6.py,Suggestion_4_9.py,0.1096
Suggestion_6_6.py,Suggestion_5_6.py,0.0986
Suggestion_6_6.py,Suggestion_5_9.py,0.0335
Suggestion_6_6.py,Suggestion_6_6.py,1.0
