file_1,file_2,similarity
Suggestion_1_1.py,Suggestion_1_1.py,1.0
Suggestion_1_1.py,Suggestion_2_1.py,0.9158
Suggestion_1_1.py,Suggestion_2_10.py,1.0
Suggestion_1_1.py,Suggestion_2_2.py,0.9525
Suggestion_1_1.py,Suggestion_2_3.py,0.9263
Suggestion_1_1.py,Suggestion_2_4.py,1.0
Suggestion_1_1.py,Suggestion_2_5.py,0.8805
Suggestion_1_1.py,Suggestion_2_6.py,0.8701
Suggestion_1_1.py,Suggestion_2_7.py,1.0
Suggestion_1_1.py,Suggestion_2_8.py,0.8805
Suggestion_1_1.py,Suggestion_2_9.py,1.0
Suggestion_1_1.py,Suggestion_3_1.py,1.0
Suggestion_2_1.py,Suggestion_1_1.py,0.9158
Suggestion_2_1.py,Suggestion_2_1.py,1.0
Suggestion_2_1.py,Suggestion_2_10.py,0.9158
Suggestion_2_1.py,Suggestion_2_2.py,0.8701
Suggestion_2_1.py,Suggestion_2_3.py,0.9691
Suggestion_2_1.py,Suggestion_2_4.py,0.9158
Suggestion_2_1.py,Suggestion_2_5.py,0.9238
Suggestion_2_1.py,Suggestion_2_6.py,0.9544
Suggestion_2_1.py,Suggestion_2_7.py,0.9158
Suggestion_2_1.py,Suggestion_2_8.py,0.9238
Suggestion_2_1.py,Suggestion_2_9.py,0.9158
Suggestion_2_1.py,Suggestion_3_1.py,0.9158
Suggestion_2_10.py,Suggestion_1_1.py,1.0
Suggestion_2_10.py,Suggestion_2_1.py,0.9158
Suggestion_2_10.py,Suggestion_2_10.py,1.0
Suggestion_2_10.py,Suggestion_2_2.py,0.9525
Suggestion_2_10.py,Suggestion_2_3.py,0.9263
Suggestion_2_10.py,Suggestion_2_4.py,1.0
Suggestion_2_10.py,Suggestion_2_5.py,0.8805
Suggestion_2_10.py,Suggestion_2_6.py,0.8701
Suggestion_2_10.py,Suggestion_2_7.py,1.0
Suggestion_2_10.py,Suggestion_2_8.py,0.8805
Suggestion_2_10.py,Suggestion_2_9.py,1.0
Suggestion_2_10.py,Suggestion_3_1.py,1.0
Suggestion_2_2.py,Suggestion_1_1.py,0.9525
Suggestion_2_2.py,Suggestion_2_1.py,0.8701
Suggestion_2_2.py,Suggestion_2_10.py,0.9525
Suggestion_2_2.py,Suggestion_2_2.py,1.0
Suggestion_2_2.py,Suggestion_2_3.py,0.8805
Suggestion_2_2.py,Suggestion_2_4.py,0.9525
Suggestion_2_2.py,Suggestion_2_5.py,0.9279
Suggestion_2_2.py,Suggestion_2_6.py,0.9176
Suggestion_2_2.py,Suggestion_2_7.py,0.9525
Suggestion_2_2.py,Suggestion_2_8.py,0.9279
Suggestion_2_2.py,Suggestion_2_9.py,0.9525
Suggestion_2_2.py,Suggestion_3_1.py,0.9525
Suggestion_2_3.py,Suggestion_1_1.py,0.9263
Suggestion_2_3.py,Suggestion_2_1.py,0.9691
Suggestion_2_3.py,Suggestion_2_10.py,0.9263
Suggestion_2_3.py,Suggestion_2_2.py,0.8805
Suggestion_2_3.py,Suggestion_2_3.py,1.0
Suggestion_2_3.py,Suggestion_2_4.py,0.9263
Suggestion_2_3.py,Suggestion_2_5.py,0.9544
Suggestion_2_3.py,Suggestion_2_6.py,0.9238
Suggestion_2_3.py,Suggestion_2_7.py,0.9263
Suggestion_2_3.py,Suggestion_2_8.py,0.9544
Suggestion_2_3.py,Suggestion_2_9.py,0.9263
Suggestion_2_3.py,Suggestion_3_1.py,0.9263
Suggestion_2_4.py,Suggestion_1_1.py,1.0
Suggestion_2_4.py,Suggestion_2_1.py,0.9158
Suggestion_2_4.py,Suggestion_2_10.py,1.0
Suggestion_2_4.py,Suggestion_2_2.py,0.9525
Suggestion_2_4.py,Suggestion_2_3.py,0.9263
Suggestion_2_4.py,Suggestion_2_4.py,1.0
Suggestion_2_4.py,Suggestion_2_5.py,0.8805
Suggestion_2_4.py,Suggestion_2_6.py,0.8701
Suggestion_2_4.py,Suggestion_2_7.py,1.0
Suggestion_2_4.py,Suggestion_2_8.py,0.8805
Suggestion_2_4.py,Suggestion_2_9.py,1.0
Suggestion_2_4.py,Suggestion_3_1.py,1.0
Suggestion_2_5.py,Suggestion_1_1.py,0.8805
Suggestion_2_5.py,Suggestion_2_1.py,0.9238
Suggestion_2_5.py,Suggestion_2_10.py,0.8805
Suggestion_2_5.py,Suggestion_2_2.py,0.9279
Suggestion_2_5.py,Suggestion_2_3.py,0.9544
Suggestion_2_5.py,Suggestion_2_4.py,0.8805
Suggestion_2_5.py,Suggestion_2_5.py,1.0
Suggestion_2_5.py,Suggestion_2_6.py,0.9697
Suggestion_2_5.py,Suggestion_2_7.py,0.8805
Suggestion_2_5.py,Suggestion_2_8.py,1.0
Suggestion_2_5.py,Suggestion_2_9.py,0.8805
Suggestion_2_5.py,Suggestion_3_1.py,0.8805
Suggestion_2_6.py,Suggestion_1_1.py,0.8701
Suggestion_2_6.py,Suggestion_2_1.py,0.9544
Suggestion_2_6.py,Suggestion_2_10.py,0.8701
Suggestion_2_6.py,Suggestion_2_2.py,0.9176
Suggestion_2_6.py,Suggestion_2_3.py,0.9238
Suggestion_2_6.py,Suggestion_2_4.py,0.8701
