file_1,file_2,similarity
Suggestion_1_1.py,Suggestion_1_1.py,1.0
Suggestion_1_1.py,Suggestion_2_2.py,1.0
Suggestion_1_1.py,Suggestion_2_3.py,1.0
Suggestion_1_1.py,Suggestion_3_1.py,1.0
Suggestion_1_1.py,Suggestion_3_2.py,1.0
Suggestion_1_1.py,Suggestion_3_3.py,1.0
Suggestion_2_2.py,Suggestion_1_1.py,1.0
Suggestion_2_2.py,Suggestion_2_2.py,1.0
Suggestion_2_2.py,Suggestion_2_3.py,1.0
Suggestion_2_2.py,Suggestion_3_1.py,1.0
Suggestion_2_2.py,Suggestion_3_2.py,1.0
Suggestion_2_2.py,Suggestion_3_3.py,1.0
Suggestion_2_3.py,Suggestion_1_1.py,1.0
Suggestion_2_3.py,Suggestion_2_2.py,1.0
Suggestion_2_3.py,Suggestion_2_3.py,1.0
Suggestion_2_3.py,Suggestion_3_1.py,1.0
Suggestion_2_3.py,Suggestion_3_2.py,1.0
Suggestion_2_3.py,Suggestion_3_3.py,1.0
Suggestion_3_1.py,Suggestion_1_1.py,1.0
Suggestion_3_1.py,Suggestion_2_2.py,1.0
Suggestion_3_1.py,Suggestion_2_3.py,1.0
Suggestion_3_1.py,Suggestion_3_1.py,1.0
Suggestion_3_1.py,Suggestion_3_2.py,1.0
Suggestion_3_1.py,Suggestion_3_3.py,1.0
Suggestion_3_2.py,Suggestion_1_1.py,1.0
Suggestion_3_2.py,Suggestion_2_2.py,1.0
Suggestion_3_2.py,Suggestion_2_3.py,1.0
Suggestion_3_2.py,Suggestion_3_1.py,1.0
Suggestion_3_2.py,Suggestion_3_2.py,1.0
Suggestion_3_2.py,Suggestion_3_3.py,1.0
Suggestion_3_3.py,Suggestion_1_1.py,1.0
Suggestion_3_3.py,Suggestion_2_2.py,1.0
Suggestion_3_3.py,Suggestion_2_3.py,1.0
Suggestion_3_3.py,Suggestion_3_1.py,1.0
Suggestion_3_3.py,Suggestion_3_2.py,1.0
Suggestion_3_3.py,Suggestion_3_3.py,1.0
