file_1,file_2,similarity
Suggestion_1_1.py,Suggestion_1_1.py,1.0
Suggestion_1_1.py,Suggestion_2_1.py,0.9866
Suggestion_1_1.py,Suggestion_2_2.py,1.0
Suggestion_1_1.py,Suggestion_2_3.py,1.0
Suggestion_1_1.py,Suggestion_3_1.py,1.0
Suggestion_1_1.py,Suggestion_4_1.py,1.0
Suggestion_1_1.py,Suggestion_5_1.py,1.0
Suggestion_1_1.py,Suggestion_6_1.py,1.0
Suggestion_1_1.py,Suggestion_6_2.py,1.0
Suggestion_1_1.py,Suggestion_6_3.py,1.0
Suggestion_1_1.py,Suggestion_6_4.py,1.0
Suggestion_1_1.py,Suggestion_6_5.py,1.0
Suggestion_1_1.py,Suggestion_6_6.py,1.0
Suggestion_2_1.py,Suggestion_1_1.py,0.9866
Suggestion_2_1.py,Suggestion_2_1.py,1.0
Suggestion_2_1.py,Suggestion_2_2.py,0.9866
Suggestion_2_1.py,Suggestion_2_3.py,0.9866
Suggestion_2_1.py,Suggestion_3_1.py,0.9866
Suggestion_2_1.py,Suggestion_4_1.py,0.9866
Suggestion_2_1.py,Suggestion_5_1.py,0.9866
Suggestion_2_1.py,Suggestion_6_1.py,0.9866
Suggestion_2_1.py,Suggestion_6_2.py,0.9866
Suggestion_2_1.py,Suggestion_6_3.py,0.9866
Suggestion_2_1.py,Suggestion_6_4.py,0.9866
Suggestion_2_1.py,Suggestion_6_5.py,0.9866
Suggestion_2_1.py,Suggestion_6_6.py,0.9866
Suggestion_2_2.py,Suggestion_1_1.py,1.0
Suggestion_2_2.py,Suggestion_2_1.py,0.9866
Suggestion_2_2.py,Suggestion_2_2.py,1.0
Suggestion_2_2.py,Suggestion_2_3.py,1.0
Suggestion_2_2.py,Suggestion_3_1.py,1.0
Suggestion_2_2.py,Suggestion_4_1.py,1.0
Suggestion_2_2.py,Suggestion_5_1.py,1.0
Suggestion_2_2.py,Suggestion_6_1.py,1.0
Suggestion_2_2.py,Suggestion_6_2.py,1.0
Suggestion_2_2.py,Suggestion_6_3.py,1.0
Suggestion_2_2.py,Suggestion_6_4.py,1.0
Suggestion_2_2.py,Suggestion_6_5.py,1.0
Suggestion_2_2.py,Suggestion_6_6.py,1.0
Suggestion_2_3.py,Suggestion_1_1.py,1.0
Suggestion_2_3.py,Suggestion_2_1.py,0.9866
Suggestion_2_3.py,Suggestion_2_2.py,1.0
Suggestion_2_3.py,Suggestion_2_3.py,1.0
Suggestion_2_3.py,Suggestion_3_1.py,1.0
Suggestion_2_3.py,Suggestion_4_1.py,1.0
Suggestion_2_3.py,Suggestion_5_1.py,1.0
Suggestion_2_3.py,Suggestion_6_1.py,1.0
Suggestion_2_3.py,Suggestion_6_2.py,1.0
Suggestion_2_3.py,Suggestion_6_3.py,1.0
Suggestion_2_3.py,Suggestion_6_4.py,1.0
Suggestion_2_3.py,Suggestion_6_5.py,1.0
Suggestion_2_3.py,Suggestion_6_6.py,1.0
Suggestion_3_1.py,Suggestion_1_1.py,1.0
Suggestion_3_1.py,Suggestion_2_1.py,0.9866
Suggestion_3_1.py,Suggestion_2_2.py,1.0
Suggestion_3_1.py,Suggestion_2_3.py,1.0
Suggestion_3_1.py,Suggestion_3_1.py,1.0
Suggestion_3_1.py,Suggestion_4_1.py,1.0
Suggestion_3_1.py,Suggestion_5_1.py,1.0
Suggestion_3_1.py,Suggestion_6_1.py,1.0
Suggestion_3_1.py,Suggestion_6_2.py,1.0
Suggestion_3_1.py,Suggestion_6_3.py,1.0
Suggestion_3_1.py,Suggestion_6_4.py,1.0
Suggestion_3_1.py,Suggestion_6_5.py,1.0
Suggestion_3_1.py,Suggestion_6_6.py,1.0
Suggestion_4_1.py,Suggestion_1_1.py,1.0
Suggestion_4_1.py,Suggestion_2_1.py,0.9866
Suggestion_4_1.py,Suggestion_2_2.py,1.0
Suggestion_4_1.py,Suggestion_2_3.py,1.0
Suggestion_4_1.py,Suggestion_3_1.py,1.0
Suggestion_4_1.py,Suggestion_4_1.py,1.0
Suggestion_4_1.py,Suggestion_5_1.py,1.0
Suggestion_4_1.py,Suggestion_6_1.py,1.0
Suggestion_4_1.py,Suggestion_6_2.py,1.0
Suggestion_4_1.py,Suggestion_6_3.py,1.0
Suggestion_4_1.py,Suggestion_6_4.py,1.0
Suggestion_4_1.py,Suggestion_6_5.py,1.0
Suggestion_4_1.py,Suggestion_6_6.py,1.0
Suggestion_5_1.py,Suggestion_1_1.py,1.0
Suggestion_5_1.py,Suggestion_2_1.py,0.9866
Suggestion_5_1.py,Suggestion_2_2.py,1.0
Suggestion_5_1.py,Suggestion_2_3.py,1.0
Suggestion_5_1.py,Suggestion_3_1.py,1.0
Suggestion_5_1.py,Suggestion_4_1.py,1.0
Suggestion_5_1.py,Suggestion_5_1.py,1.0
Suggestion_5_1.py,Suggestion_6_1.py,1.0
Suggestion_5_1.py,Suggestion_6_2.py,1.0
Suggestion_5_1.py,Suggestion_6_3.py,1.0
Suggestion_5_1.py,Suggestion_6_4.py,1.0
Suggestion_5_1.py,Suggestion_6_5.py,1.0
Suggestion_5_1.py,Suggestion_6_6.py,1.0
Suggestion_6_1.py,Suggestion_1_1.py,1.0
Suggestion_6_1.py,Suggestion_2_1.py,0.9866
Suggestion_6_1.py,Suggestion_2_2.py,1.0
Suggestion_6_1.py,Suggestion_2_3.py,1.0
Suggestion_6_1.py,Suggestion_3_1.py,1.0
Suggestion_6_1.py,Suggestion_4_1.py,1.0
Suggestion_6_1.py,Suggestion_5_1.py,1.0
Suggestion_6_1.py,Suggestion_6_1.py,1.0
Suggestion_6_1.py,Suggestion_6_2.py,1.0
Suggestion_6_1.py,Suggestion_6_3.py,1.0
Suggestion_6_1.py,Suggestion_6_4.py,1.0
Suggestion_6_1.py,Suggestion_6_5.py,1.0
Suggestion_6_1.py,Suggestion_6_6.py,1.0
Suggestion_6_2.py,Suggestion_1_1.py,1.0
Suggestion_6_2.py,Suggestion_2_1.py,0.9866
Suggestion_6_2.py,Suggestion_2_2.py,1.0
Suggestion_6_2.py,Suggestion_2_3.py,1.0
Suggestion_6_2.py,Suggestion_3_1.py,1.0
Suggestion_6_2.py,Suggestion_4_1.py,1.0
Suggestion_6_2.py,Suggestion_5_1.py,1.0
Suggestion_6_2.py,Suggestion_6_1.py,1.0
Suggestion_6_2.py,Suggestion_6_2.py,1.0
Suggestion_6_2.py,Suggestion_6_3.py,1.0
Suggestion_6_2.py,Suggestion_6_4.py,1.0
Suggestion_6_2.py,Suggestion_6_5.py,1.0
Suggestion_6_2.py,Suggestion_6_6.py,1.0
Suggestion_6_3.py,Suggestion_1_1.py,1.0
Suggestion_6_3.py,Suggestion_2_1.py,0.9866
Suggestion_6_3.py,Suggestion_2_2.py,1.0
Suggestion_6_3.py,Suggestion_2_3.py,1.0
Suggestion_6_3.py,Suggestion_3_1.py,1.0
Suggestion_6_3.py,Suggestion_4_1.py,1.0
Suggestion_6_3.py,Suggestion_5_1.py,1.0
Suggestion_6_3.py,Suggestion_6_1.py,1.0
Suggestion_6_3.py,Suggestion_6_2.py,1.0
Suggestion_6_3.py,Suggestion_6_3.py,1.0
Suggestion_6_3.py,Suggestion_6_4.py,1.0
Suggestion_6_3.py,Suggestion_6_5.py,1.0
Suggestion_6_3.py,Suggestion_6_6.py,1.0
Suggestion_6_4.py,Suggestion_1_1.py,1.0
Suggestion_6_4.py,Suggestion_2_1.py,0.9866
Suggestion_6_4.py,Suggestion_2_2.py,1.0
Suggestion_6_4.py,Suggestion_2_3.py,1.0
Suggestion_6_4.py,Suggestion_3_1.py,1.0
Suggestion_6_4.py,Suggestion_4_1.py,1.0
Suggestion_6_4.py,Suggestion_5_1.py,1.0
Suggestion_6_4.py,Suggestion_6_1.py,1.0
Suggestion_6_4.py,Suggestion_6_2.py,1.0
Suggestion_6_4.py,Suggestion_6_3.py,1.0
Suggestion_6_4.py,Suggestion_6_4.py,1.0
Suggestion_6_4.py,Suggestion_6_5.py,1.0
Suggestion_6_4.py,Suggestion_6_6.py,1.0
Suggestion_6_5.py,Suggestion_1_1.py,1.0
Suggestion_6_5.py,Suggestion_2_1.py,0.9866
Suggestion_6_5.py,Suggestion_2_2.py,1.0
Suggestion_6_5.py,Suggestion_2_3.py,1.0
Suggestion_6_5.py,Suggestion_3_1.py,1.0
Suggestion_6_5.py,Suggestion_4_1.py,1.0
Suggestion_6_5.py,Suggestion_5_1.py,1.0
Suggestion_6_5.py,Suggestion_6_1.py,1.0
Suggestion_6_5.py,Suggestion_6_2.py,1.0
Suggestion_6_5.py,Suggestion_6_3.py,1.0
Suggestion_6_5.py,Suggestion_6_4.py,1.0
Suggestion_6_5.py,Suggestion_6_5.py,1.0
Suggestion_6_5.py,Suggestion_6_6.py,1.0
Suggestion_6_6.py,Suggestion_1_1.py,1.0
Suggestion_6_6.py,Suggestion_2_1.py,0.9866
Suggestion_6_6.py,Suggestion_2_2.py,1.0
Suggestion_6_6.py,Suggestion_2_3.py,1.0
Suggestion_6_6.py,Suggestion_3_1.py,1.0
Suggestion_6_6.py,Suggestion_4_1.py,1.0
Suggestion_6_6.py,Suggestion_5_1.py,1.0
Suggestion_6_6.py,Suggestion_6_1.py,1.0
Suggestion_6_6.py,Suggestion_6_2.py,1.0
Suggestion_6_6.py,Suggestion_6_3.py,1.0
Suggestion_6_6.py,Suggestion_6_4.py,1.0
Suggestion_6_6.py,Suggestion_6_5.py,1.0
Suggestion_6_6.py,Suggestion_6_6.py,1.0
