file_1,file_2,similarity
Suggestion_1_1.py,Suggestion_1_1.py,1.0
Suggestion_1_1.py,Suggestion_2_6.py,0.3422
Suggestion_1_1.py,Suggestion_3_1.py,1.0
Suggestion_1_1.py,Suggestion_5_1.py,0.728
Suggestion_1_1.py,Suggestion_5_2.py,0.728
Suggestion_2_6.py,Suggestion_1_1.py,0.3422
Suggestion_2_6.py,Suggestion_2_6.py,1.0
Suggestion_2_6.py,Suggestion_3_1.py,0.3422
Suggestion_2_6.py,Suggestion_5_1.py,0.5426
Suggestion_2_6.py,Suggestion_5_2.py,0.5426
Suggestion_3_1.py,Suggestion_1_1.py,1.0
Suggestion_3_1.py,Suggestion_2_6.py,0.3422
Suggestion_3_1.py,Suggestion_3_1.py,1.0
Suggestion_3_1.py,Suggestion_5_1.py,0.728
Suggestion_3_1.py,Suggestion_5_2.py,0.728
Suggestion_5_1.py,Suggestion_1_1.py,0.728
Suggestion_5_1.py,Suggestion_2_6.py,0.5426
Suggestion_5_1.py,Suggestion_3_1.py,0.728
Suggestion_5_1.py,Suggestion_5_1.py,1.0
Suggestion_5_1.py,Suggestion_5_2.py,1.0
Suggestion_5_2.py,Suggestion_1_1.py,0.728
Suggestion_5_2.py,Suggestion_2_6.py,0.5426
Suggestion_5_2.py,Suggestion_3_1.py,0.728
Suggestion_5_2.py,Suggestion_5_1.py,1.0
Suggestion_5_2.py,Suggestion_5_2.py,1.0
